Timestamp,Event
2025-12-21 19:29:41.729213,UNAUTHORIZED ADMIN ACCESS - user=sahil - ip=127.0.0.1
2025-12-21 19:47:21.921515,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2025-12-21 19:48:55.137504,LOGOUT - user=sahil - ip=127.0.0.1
2025-12-21 19:48:59.046799,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2025-12-21 19:59:15.940981,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2025-12-21 19:59:30.145465,UNAUTHORIZED ADMIN ACCESS - user=sahil - ip=127.0.0.1
2025-12-21 19:59:43.142969,LOGIN SUCCESS - user=admin - ip=127.0.0.1
2025-12-21 20:00:34.496789,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:00:34.908687,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:00:52.353024,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:00:52.763269,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:09:33.435888,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:10:14.236971,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:10:51.995139,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:11:16.673422,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:13:23.129393,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:14:23.075341,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:16:10.425724,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:16:28.047782,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:17:05.461924,LOGIN SUCCESS - user=admin - ip=127.0.0.1
2025-12-21 20:17:15.726580,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2025-12-21 20:17:43.048735,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2025-12-21 20:18:01.909900,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2025-12-21 20:18:24.607544,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2025-12-21 20:18:33.236688,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2025-12-21 20:20:28.351230,SECURE HTTP HEADERS CONFIGURED
2025-12-21 20:20:34.911689,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2025-12-21 20:33:06.227543,SECURE HTTP HEADERS CONFIGURED
2026-01-08 17:43:28.154092,SECURE HTTP HEADERS CONFIGURED
2026-01-08 17:43:28.874513,SECURE HTTP HEADERS CONFIGURED
2026-01-08 17:45:29.896585,SECURE HTTP HEADERS CONFIGURED
2026-01-08 17:45:30.281460,SECURE HTTP HEADERS CONFIGURED
2026-01-08 17:46:43.804556,LOGIN SUCCESS - user=admin - ip=127.0.0.1
2026-01-08 17:47:49.275924,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-08 17:48:59.378268,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2026-01-08 17:51:44.081213,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2026-01-08 17:58:37.978914,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2026-01-08 17:59:31.309981,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2026-01-08 17:59:42.429010,ADMIN LOGIN FAILED - admin=admin - ip=127.0.0.1
2026-01-08 18:06:52.992694,SECURE HTTP HEADERS CONFIGURED
